date,product_id,current_stock,reorder_level,reorder_quantity,lead_time_days,shelf_life_days
2023-04-17,FRUIT001,34,11,62,5,10
2023-04-18,FRUIT001,20,7,63,5,10
2023-04-19,FRUIT001,15,20,57,1,10
2023-04-20,FRUIT001,22,17,45,5,10
2023-04-21,FRUIT001,53,16,44,5,10
2023-04-22,FRUIT001,56,10,76,2,10
2023-04-23,FRUIT001,44,16,45,5,10
2023-04-24,FRUIT001,22,19,73,1,10
2023-04-25,FRUIT001,12,6,39,1,10
2023-04-26,FRUIT001,33,19,47,2,10
2023-04-27,FRUIT001,44,7,78,3,10
2023-04-28,FRUIT001,52,13,61,2,10
2023-04-29,FRUIT001,11,8,56,1,10
2023-04-30,FRUIT001,43,8,52,2,10
2023-05-01,FRUIT001,11,12,54,5,10
2023-05-02,FRUIT001,32,14,40,3,10
2023-05-03,FRUIT001,57,5,47,1,10
2023-05-04,FRUIT001,42,5,42,4,10
2023-05-05,FRUIT001,30,18,64,3,10
2023-05-06,FRUIT001,25,8,37,3,10
2023-05-07,FRUIT001,38,5,62,3,10
2023-05-08,FRUIT001,40,15,69,5,10
2023-05-09,FRUIT001,56,10,32,3,10
2023-05-10,FRUIT001,19,18,36,1,10
2023-05-11,FRUIT001,32,20,41,4,10
2023-05-12,FRUIT001,14,6,37,4,10
2023-05-13,FRUIT001,27,15,62,5,10
2023-05-14,FRUIT001,16,18,37,2,10
2023-05-15,FRUIT001,18,9,44,4,10
2023-05-16,FRUIT001,47,15,75,4,10
2023-05-17,FRUIT001,31,8,64,1,10
2023-05-18,FRUIT001,34,14,80,3,10
2023-05-19,FRUIT001,46,14,40,2,10
2023-05-20,FRUIT001,19,10,63,3,10
2023-05-21,FRUIT001,41,20,43,4,10
2023-05-22,FRUIT001,33,5,66,5,10
2023-05-23,FRUIT001,55,9,62,2,10
2023-05-24,FRUIT001,20,10,73,2,10
2023-05-25,FRUIT001,28,7,41,3,10
2023-05-26,FRUIT001,20,17,75,4,10
2023-05-27,FRUIT001,25,15,53,3,10
2023-05-28,FRUIT001,39,19,48,1,10
2023-05-29,FRUIT001,50,19,52,3,10
2023-05-30,FRUIT001,15,12,75,2,10
2023-05-31,FRUIT001,10,14,60,2,10
2023-06-01,FRUIT001,11,10,35,1,10
2023-06-02,FRUIT001,18,10,48,1,10
2023-06-03,FRUIT001,22,5,46,4,10
2023-06-04,FRUIT001,56,11,34,5,10
2023-06-05,FRUIT001,32,20,39,2,10
2023-06-06,FRUIT001,9,8,52,3,10
2023-06-07,FRUIT001,43,7,61,2,10
2023-06-08,FRUIT001,8,20,41,2,10
2023-06-09,FRUIT001,53,8,40,3,10
2023-06-10,FRUIT001,9,18,32,5,10
2023-06-11,FRUIT001,48,18,52,1,10
2023-06-12,FRUIT001,29,5,73,1,10
2023-06-13,FRUIT001,23,15,53,4,10
2023-06-14,FRUIT001,14,18,70,3,10
2023-06-15,FRUIT001,58,5,64,4,10
2023-06-16,FRUIT001,50,15,41,1,10
2023-06-17,FRUIT001,51,15,77,2,10
2023-06-18,FRUIT001,27,8,53,4,10
2023-06-19,FRUIT001,25,11,65,4,10
2023-06-20,FRUIT001,10,16,75,3,10
2023-06-21,FRUIT001,29,14,53,5,10
2023-06-22,FRUIT001,12,8,30,1,10
2023-06-23,FRUIT001,33,12,37,5,10
2023-06-24,FRUIT001,8,9,65,3,10
2023-06-25,FRUIT001,41,11,32,1,10
2023-06-26,FRUIT001,28,8,40,4,10
2023-06-27,FRUIT001,14,14,76,2,10
2023-06-28,FRUIT001,41,8,70,5,10
2023-06-29,FRUIT001,30,16,47,2,10
2023-06-30,FRUIT001,51,12,54,1,10
2023-07-01,FRUIT001,53,10,77,4,10
2023-07-02,FRUIT001,49,16,41,4,10
2023-07-03,FRUIT001,55,20,52,2,10
2023-07-04,FRUIT001,58,18,48,5,10
2023-07-05,FRUIT001,23,19,33,3,10
2023-07-06,FRUIT001,9,20,73,3,10
2023-07-07,FRUIT001,37,18,60,4,10
2023-07-08,FRUIT001,54,17,63,1,10
2023-07-09,FRUIT001,50,13,57,3,10
2023-07-10,FRUIT001,40,6,72,5,10
2023-07-11,FRUIT001,36,7,75,4,10
2023-07-12,FRUIT001,57,10,62,1,10
2023-07-13,FRUIT001,50,9,32,2,10
2023-07-14,FRUIT001,52,9,68,5,10
2023-07-15,FRUIT001,17,19,65,5,10
2023-07-16,FRUIT001,33,6,76,5,10
2023-07-17,FRUIT001,39,6,48,1,10
2023-07-18,FRUIT001,51,5,51,4,10
2023-07-19,FRUIT001,30,13,51,3,10
2023-07-20,FRUIT001,9,20,34,2,10
2023-07-21,FRUIT001,36,8,68,3,10
2023-07-22,FRUIT001,38,17,61,3,10
2023-07-23,FRUIT001,52,9,43,4,10
2023-07-24,FRUIT001,13,14,62,3,10
2023-07-25,FRUIT001,14,6,64,3,10
2023-07-26,FRUIT001,35,15,37,4,10
2023-07-27,FRUIT001,38,19,64,4,10
2023-07-28,FRUIT001,12,10,60,5,10
2023-07-29,FRUIT001,37,15,64,4,10
2023-07-30,FRUIT001,20,16,32,2,10
2023-07-31,FRUIT001,52,14,43,2,10
2023-08-01,FRUIT001,17,19,45,3,10
2023-08-02,FRUIT001,15,5,78,3,10
2023-08-03,FRUIT001,40,7,38,5,10
2023-08-04,FRUIT001,10,13,53,2,10
2023-08-05,FRUIT001,26,20,37,1,10
2023-08-06,FRUIT001,34,16,62,4,10
2023-08-07,FRUIT001,44,12,38,5,10
2023-08-08,FRUIT001,24,20,31,3,10
2023-08-09,FRUIT001,25,17,41,4,10
2023-08-10,FRUIT001,28,18,50,2,10
2023-08-11,FRUIT001,20,8,30,2,10
2023-08-12,FRUIT001,56,20,39,2,10
2023-08-13,FRUIT001,19,14,47,5,10
2023-08-14,FRUIT001,33,6,31,4,10
2023-08-15,FRUIT001,49,7,32,4,10
2023-08-16,FRUIT001,48,10,67,3,10
2023-08-17,FRUIT001,56,17,50,2,10
2023-08-18,FRUIT001,22,16,32,4,10
2023-08-19,FRUIT001,32,15,74,1,10
2023-08-20,FRUIT001,27,8,74,4,10
2023-08-21,FRUIT001,24,14,38,5,10
2023-08-22,FRUIT001,53,7,42,2,10
2023-08-23,FRUIT001,24,20,61,5,10
2023-08-24,FRUIT001,42,14,43,3,10
2023-08-25,FRUIT001,43,10,54,5,10
2023-08-26,FRUIT001,48,5,43,2,10
2023-08-27,FRUIT001,46,10,52,5,10
2023-08-28,FRUIT001,34,17,35,1,10
2023-08-29,FRUIT001,23,10,73,4,10
2023-08-30,FRUIT001,51,19,49,5,10
2023-08-31,FRUIT001,13,6,64,2,10
2023-09-01,FRUIT001,58,20,39,4,10
2023-09-02,FRUIT001,51,15,43,3,10
2023-09-03,FRUIT001,24,13,32,1,10
2023-09-04,FRUIT001,49,16,38,3,10
2023-09-05,FRUIT001,52,14,67,2,10
2023-09-06,FRUIT001,29,8,80,1,10
2023-09-07,FRUIT001,30,20,58,1,10
2023-09-08,FRUIT001,21,13,31,3,10
2023-09-09,FRUIT001,53,17,40,2,10
2023-09-10,FRUIT001,57,14,38,3,10
2023-09-11,FRUIT001,25,5,69,2,10
2023-09-12,FRUIT001,40,12,58,4,10
2023-09-13,FRUIT001,53,14,62,2,10
2023-09-14,FRUIT001,43,13,46,4,10
2023-09-15,FRUIT001,15,19,78,1,10
2023-09-16,FRUIT001,14,7,36,3,10
2023-09-17,FRUIT001,51,15,76,5,10
2023-09-18,FRUIT001,42,5,52,2,10
2023-09-19,FRUIT001,10,17,40,3,10
2023-09-20,FRUIT001,20,8,62,1,10
2023-09-21,FRUIT001,30,15,60,4,10
2023-09-22,FRUIT001,19,19,66,4,10
2023-09-23,FRUIT001,33,12,59,3,10
2023-09-24,FRUIT001,52,16,38,5,10
2023-09-25,FRUIT001,51,16,46,2,10
2023-09-26,FRUIT001,21,17,50,2,10
2023-09-27,FRUIT001,40,15,58,2,10
2023-09-28,FRUIT001,45,14,69,3,10
2023-09-29,FRUIT001,36,19,60,4,10
2023-09-30,FRUIT001,50,19,80,4,10
2023-10-01,FRUIT001,35,10,70,1,10
2023-10-02,FRUIT001,19,19,74,4,10
2023-10-03,FRUIT001,21,20,39,2,10
2023-10-04,FRUIT001,37,15,78,5,10
2023-10-05,FRUIT001,30,20,50,5,10
2023-10-06,FRUIT001,53,5,74,4,10
2023-10-07,FRUIT001,22,14,44,1,10
2023-10-08,FRUIT001,24,18,44,2,10
2023-10-09,FRUIT001,12,11,34,1,10
2023-10-10,FRUIT001,16,11,61,2,10
2023-10-11,FRUIT001,52,5,53,4,10
2023-10-12,FRUIT001,24,9,50,1,10
2023-10-13,FRUIT001,15,15,73,2,10
2023-10-14,FRUIT001,50,9,43,5,10
2023-10-15,FRUIT001,41,15,57,3,10
2023-10-16,FRUIT001,35,12,67,4,10
2023-10-17,FRUIT001,53,18,67,3,10
2023-10-18,FRUIT001,53,12,58,4,10
2023-10-19,FRUIT001,45,18,79,2,10
2023-10-20,FRUIT001,54,7,78,3,10
2023-10-21,FRUIT001,57,11,45,5,10
2023-10-22,FRUIT001,49,9,48,3,10
2023-10-23,FRUIT001,47,15,72,3,10
2023-10-24,FRUIT001,57,6,62,1,10
2023-10-25,FRUIT001,10,8,70,4,10
2023-10-26,FRUIT001,21,11,44,3,10
2023-10-27,FRUIT001,46,8,59,1,10
2023-10-28,FRUIT001,52,7,61,4,10
2023-10-29,FRUIT001,42,8,77,5,10
2023-10-30,FRUIT001,26,9,43,4,10
2023-10-31,FRUIT001,27,16,32,4,10
2023-11-01,FRUIT001,48,6,72,4,10
2023-11-02,FRUIT001,20,7,47,4,10
2023-11-03,FRUIT001,39,8,45,3,10
2023-11-04,FRUIT001,12,9,78,5,10
2023-11-05,FRUIT001,15,10,35,5,10
2023-11-06,FRUIT001,13,9,32,5,10
2023-11-07,FRUIT001,28,12,65,3,10
2023-11-08,FRUIT001,10,11,37,4,10
2023-11-09,FRUIT001,16,12,33,3,10
2023-11-10,FRUIT001,47,12,65,1,10
2023-11-11,FRUIT001,44,13,67,1,10
2023-11-12,FRUIT001,45,14,34,4,10
2023-11-13,FRUIT001,35,8,75,5,10
2023-11-14,FRUIT001,22,11,62,4,10
2023-11-15,FRUIT001,8,13,72,1,10
2023-11-16,FRUIT001,52,13,40,1,10
2023-11-17,FRUIT001,25,14,52,4,10
2023-11-18,FRUIT001,9,12,51,4,10
2023-11-19,FRUIT001,15,20,41,4,10
2023-11-20,FRUIT001,38,14,51,5,10
2023-11-21,FRUIT001,47,16,62,2,10
2023-11-22,FRUIT001,33,11,71,1,10
2023-11-23,FRUIT001,11,6,30,3,10
2023-11-24,FRUIT001,13,14,48,3,10
2023-11-25,FRUIT001,29,5,38,2,10
2023-11-26,FRUIT001,27,10,34,5,10
2023-11-27,FRUIT001,19,10,31,1,10
2023-11-28,FRUIT001,42,7,64,1,10
2023-11-29,FRUIT001,34,9,34,2,10
2023-11-30,FRUIT001,18,15,43,4,10
2023-12-01,FRUIT001,56,11,59,1,10
2023-12-02,FRUIT001,18,19,30,2,10
2023-12-03,FRUIT001,56,15,60,5,10
2023-12-04,FRUIT001,19,9,67,4,10
2023-12-05,FRUIT001,23,14,64,2,10
2023-12-06,FRUIT001,53,16,54,1,10
2023-12-07,FRUIT001,27,11,77,2,10
2023-12-08,FRUIT001,9,9,38,3,10
2023-12-09,FRUIT001,52,18,57,1,10
2023-12-10,FRUIT001,24,11,68,5,10
2023-12-11,FRUIT001,12,15,70,5,10
2023-12-12,FRUIT001,16,20,65,4,10
2023-12-13,FRUIT001,14,20,30,3,10
2023-12-14,FRUIT001,58,10,70,4,10
2023-12-15,FRUIT001,45,7,36,5,10
2023-12-16,FRUIT001,45,17,30,3,10
2023-12-17,FRUIT001,23,10,78,2,10
2023-12-18,FRUIT001,24,18,67,3,10
2023-12-19,FRUIT001,13,8,72,5,10
2023-12-20,FRUIT001,22,11,66,3,10
2023-12-21,FRUIT001,34,10,43,3,10
2023-12-22,FRUIT001,47,10,75,2,10
2023-12-23,FRUIT001,42,20,44,3,10
2023-12-24,FRUIT001,49,18,38,2,10
2023-12-25,FRUIT001,24,15,79,5,10
2023-12-26,FRUIT001,24,6,69,1,10
2023-12-27,FRUIT001,19,15,65,5,10
2023-12-28,FRUIT001,39,6,59,4,10
2023-12-29,FRUIT001,14,16,77,1,10
2023-12-30,FRUIT001,25,9,43,1,10
2023-12-31,FRUIT001,50,18,45,5,10
2024-01-01,FRUIT001,55,6,64,2,10
2024-01-02,FRUIT001,34,15,62,5,10
2024-01-03,FRUIT001,38,11,65,4,10
2024-01-04,FRUIT001,11,13,45,4,10
2024-01-05,FRUIT001,41,16,67,2,10
2024-01-06,FRUIT001,11,11,39,4,10
2024-01-07,FRUIT001,19,15,39,3,10
2024-01-08,FRUIT001,57,6,63,4,10
2024-01-09,FRUIT001,18,12,77,3,10
2024-01-10,FRUIT001,28,8,59,3,10
2024-01-11,FRUIT001,47,10,51,1,10
2024-01-12,FRUIT001,43,15,65,4,10
2024-01-13,FRUIT001,14,12,78,5,10
2024-01-14,FRUIT001,57,6,59,1,10
2024-01-15,FRUIT001,46,9,48,2,10
2024-01-16,FRUIT001,14,20,77,4,10
2024-01-17,FRUIT001,22,14,71,1,10
2024-01-18,FRUIT001,24,12,44,4,10
2024-01-19,FRUIT001,54,8,77,5,10
2024-01-20,FRUIT001,17,11,48,5,10
2024-01-21,FRUIT001,28,16,41,4,10
2024-01-22,FRUIT001,15,17,47,3,10
2024-01-23,FRUIT001,17,7,33,3,10
2024-01-24,FRUIT001,43,9,42,3,10
2024-01-25,FRUIT001,18,6,39,1,10
2024-01-26,FRUIT001,9,20,50,2,10
2024-01-27,FRUIT001,15,7,47,1,10
2024-01-28,FRUIT001,10,10,71,1,10
2024-01-29,FRUIT001,44,20,30,4,10
2024-01-30,FRUIT001,27,20,59,5,10
2024-01-31,FRUIT001,28,14,51,3,10
2024-02-01,FRUIT001,43,6,71,4,10
2024-02-02,FRUIT001,36,5,64,3,10
2024-02-03,FRUIT001,29,16,58,1,10
2024-02-04,FRUIT001,30,5,34,3,10
2024-02-05,FRUIT001,15,20,37,3,10
2024-02-06,FRUIT001,49,16,58,4,10
2024-02-07,FRUIT001,54,13,71,5,10
2024-02-08,FRUIT001,51,5,66,5,10
2024-02-09,FRUIT001,26,17,65,4,10
2024-02-10,FRUIT001,30,8,56,2,10
2024-02-11,FRUIT001,16,19,41,3,10
2024-02-12,FRUIT001,52,16,53,1,10
2024-02-13,FRUIT001,23,10,31,3,10
2024-02-14,FRUIT001,25,15,56,1,10
2024-02-15,FRUIT001,49,18,55,2,10
2024-02-16,FRUIT001,41,11,76,2,10
2024-02-17,FRUIT001,13,18,70,3,10
2024-02-18,FRUIT001,52,7,63,2,10
2024-02-19,FRUIT001,22,15,75,2,10
2024-02-20,FRUIT001,13,15,61,1,10
2024-02-21,FRUIT001,34,16,77,2,10
2024-02-22,FRUIT001,53,5,76,1,10
2024-02-23,FRUIT001,51,15,32,5,10
2024-02-24,FRUIT001,13,9,53,1,10
2024-02-25,FRUIT001,19,20,69,5,10
2024-02-26,FRUIT001,57,12,35,1,10
2024-02-27,FRUIT001,28,17,50,2,10
2024-02-28,FRUIT001,56,13,66,2,10
2024-02-29,FRUIT001,37,18,65,5,10
2024-03-01,FRUIT001,54,15,63,2,10
2024-03-02,FRUIT001,9,15,65,3,10
2024-03-03,FRUIT001,15,16,31,1,10
2024-03-04,FRUIT001,13,12,47,5,10
2024-03-05,FRUIT001,39,20,75,1,10
2024-03-06,FRUIT001,33,15,31,1,10
2024-03-07,FRUIT001,48,17,34,2,10
2024-03-08,FRUIT001,26,7,68,2,10
2024-03-09,FRUIT001,41,8,66,5,10
2024-03-10,FRUIT001,53,9,47,2,10
2024-03-11,FRUIT001,41,20,57,3,10
2024-03-12,FRUIT001,31,12,62,1,10
2024-03-13,FRUIT001,20,18,71,1,10
2024-03-14,FRUIT001,23,15,36,5,10
2024-03-15,FRUIT001,9,18,32,3,10
2024-03-16,FRUIT001,44,13,77,1,10
2024-03-17,FRUIT001,52,12,56,2,10
2024-03-18,FRUIT001,18,19,64,3,10
2024-03-19,FRUIT001,55,9,43,4,10
2024-03-20,FRUIT001,11,18,50,2,10
2024-03-21,FRUIT001,43,20,47,1,10
2024-03-22,FRUIT001,14,9,60,4,10
2024-03-23,FRUIT001,33,15,56,5,10
2024-03-24,FRUIT001,30,18,77,5,10
2024-03-25,FRUIT001,26,9,45,3,10
2024-03-26,FRUIT001,13,16,71,3,10
2024-03-27,FRUIT001,57,9,78,4,10
2024-03-28,FRUIT001,44,19,77,1,10
2024-03-29,FRUIT001,36,12,69,3,10
2024-03-30,FRUIT001,42,13,51,4,10
2024-03-31,FRUIT001,36,6,63,5,10
2024-04-01,FRUIT001,57,20,76,5,10
2024-04-02,FRUIT001,48,17,43,3,10
2024-04-03,FRUIT001,24,9,54,5,10
2024-04-04,FRUIT001,9,5,56,1,10
2024-04-05,FRUIT001,27,16,71,1,10
2024-04-06,FRUIT001,27,20,68,5,10
2024-04-07,FRUIT001,42,10,76,4,10
2024-04-08,FRUIT001,16,15,77,1,10
2024-04-09,FRUIT001,30,11,71,2,10
2024-04-10,FRUIT001,12,20,33,1,10
2024-04-11,FRUIT001,11,8,60,1,10
2024-04-12,FRUIT001,38,15,65,4,10
2024-04-13,FRUIT001,39,20,47,4,10
2024-04-14,FRUIT001,17,12,66,5,10
2024-04-15,FRUIT001,21,16,51,3,10
2024-04-16,FRUIT001,53,14,67,3,10
2024-04-17,FRUIT001,37,15,42,2,10
2024-04-18,FRUIT001,49,7,61,5,10
2024-04-19,FRUIT001,44,12,59,4,10
2024-04-20,FRUIT001,44,5,58,3,10
2024-04-21,FRUIT001,8,8,59,2,10
2024-04-22,FRUIT001,28,14,55,5,10
2024-04-23,FRUIT001,34,12,77,2,10
2024-04-24,FRUIT001,35,19,43,3,10
2024-04-25,FRUIT001,49,6,71,2,10
2024-04-26,FRUIT001,12,9,38,3,10
2024-04-27,FRUIT001,56,14,73,2,10
2024-04-28,FRUIT001,21,15,31,3,10
2024-04-29,FRUIT001,19,9,68,1,10
2024-04-30,FRUIT001,40,5,65,1,10
2024-05-01,FRUIT001,31,10,54,2,10
2024-05-02,FRUIT001,54,19,54,2,10
2024-05-03,FRUIT001,10,15,67,1,10
2024-05-04,FRUIT001,49,6,78,1,10
2024-05-05,FRUIT001,15,12,60,3,10
2024-05-06,FRUIT001,17,11,69,1,10
2024-05-07,FRUIT001,19,20,47,2,10
2024-05-08,FRUIT001,30,5,41,3,10
2024-05-09,FRUIT001,24,15,47,1,10
2024-05-10,FRUIT001,33,15,72,1,10
2024-05-11,FRUIT001,16,11,69,3,10
2024-05-12,FRUIT001,52,8,41,1,10
2024-05-13,FRUIT001,49,13,47,1,10
2024-05-14,FRUIT001,52,10,44,1,10
2024-05-15,FRUIT001,32,10,50,1,10
2024-05-16,FRUIT001,54,11,36,2,10
2024-05-17,FRUIT001,43,8,45,2,10
2024-05-18,FRUIT001,40,11,47,3,10
2024-05-19,FRUIT001,34,18,60,5,10
2024-05-20,FRUIT001,43,12,72,2,10
2024-05-21,FRUIT001,26,12,67,1,10
2024-05-22,FRUIT001,16,5,79,1,10
2024-05-23,FRUIT001,12,20,69,2,10
2024-05-24,FRUIT001,14,17,56,2,10
2024-05-25,FRUIT001,18,10,51,2,10
2024-05-26,FRUIT001,53,6,51,3,10
2024-05-27,FRUIT001,38,11,46,3,10
2024-05-28,FRUIT001,8,13,58,1,10
2024-05-29,FRUIT001,47,11,35,4,10
2024-05-30,FRUIT001,45,13,50,2,10
2024-05-31,FRUIT001,21,12,64,5,10
2024-06-01,FRUIT001,31,13,79,4,10
2024-06-02,FRUIT001,42,16,71,4,10
2024-06-03,FRUIT001,57,13,34,2,10
2024-06-04,FRUIT001,9,11,74,3,10
2024-06-05,FRUIT001,57,14,71,1,10
2024-06-06,FRUIT001,23,20,39,2,10
2024-06-07,FRUIT001,42,10,62,1,10
2024-06-08,FRUIT001,48,14,70,3,10
2024-06-09,FRUIT001,37,14,69,2,10
2024-06-10,FRUIT001,39,14,52,3,10
2024-06-11,FRUIT001,35,11,53,2,10
2024-06-12,FRUIT001,28,12,59,2,10
2024-06-13,FRUIT001,35,20,38,3,10
2024-06-14,FRUIT001,16,19,41,5,10
2024-06-15,FRUIT001,41,5,67,1,10
2024-06-16,FRUIT001,9,14,31,3,10
2024-06-17,FRUIT001,39,5,68,4,10
2024-06-18,FRUIT001,29,16,33,1,10
2024-06-19,FRUIT001,31,19,80,3,10
2024-06-20,FRUIT001,49,17,38,5,10
2024-06-21,FRUIT001,23,16,71,4,10
2024-06-22,FRUIT001,55,20,41,3,10
2024-06-23,FRUIT001,11,11,67,5,10
2024-06-24,FRUIT001,18,18,42,5,10
2024-06-25,FRUIT001,34,5,76,5,10
2024-06-26,FRUIT001,54,6,40,4,10
2024-06-27,FRUIT001,14,20,38,1,10
2024-06-28,FRUIT001,17,19,30,5,10
2024-06-29,FRUIT001,25,7,65,5,10
2024-06-30,FRUIT001,14,20,78,3,10
2024-07-01,FRUIT001,32,15,30,4,10
2024-07-02,FRUIT001,14,20,60,4,10
2024-07-03,FRUIT001,51,5,68,2,10
2024-07-04,FRUIT001,28,12,79,2,10
2024-07-05,FRUIT001,52,20,56,1,10
2024-07-06,FRUIT001,13,13,48,4,10
2024-07-07,FRUIT001,30,11,49,1,10
2024-07-08,FRUIT001,28,20,45,2,10
2024-07-09,FRUIT001,44,5,53,5,10
2024-07-10,FRUIT001,31,11,53,5,10
2024-07-11,FRUIT001,56,8,70,1,10
2024-07-12,FRUIT001,51,14,57,1,10
2024-07-13,FRUIT001,8,13,47,2,10
2024-07-14,FRUIT001,37,19,56,4,10
2024-07-15,FRUIT001,27,6,53,3,10
2024-07-16,FRUIT001,48,18,54,3,10
2024-07-17,FRUIT001,33,6,76,2,10
2024-07-18,FRUIT001,27,10,40,1,10
2024-07-19,FRUIT001,26,19,44,4,10
2024-07-20,FRUIT001,9,15,55,1,10
2024-07-21,FRUIT001,44,16,50,4,10
2024-07-22,FRUIT001,9,18,61,1,10
2024-07-23,FRUIT001,30,11,47,2,10
2024-07-24,FRUIT001,41,5,30,3,10
2024-07-25,FRUIT001,9,11,50,1,10
2024-07-26,FRUIT001,50,14,40,3,10
2024-07-27,FRUIT001,45,9,70,2,10
2024-07-28,FRUIT001,30,12,63,3,10
2024-07-29,FRUIT001,24,13,35,4,10
2024-07-30,FRUIT001,41,12,73,2,10
2024-07-31,FRUIT001,27,6,51,5,10
2024-08-01,FRUIT001,38,7,47,3,10
2024-08-02,FRUIT001,19,10,47,3,10
